,quantifier,dataset,abs_error,run_time
0,(REG)Top-1,1043_ada_agnostic,0.04809354838709673,0.00015833749988809501
1,(REG)Top-1,1460_banana,0.05199999999999996,0.20321703199966573
2,(REG)Top-1,1462_banknote-authentication,0.005152830192117647,0.045207025500130796
3,(REG)Top-1,1466_cardiotocography,0.0,0.024466207999757853
4,(REG)Top-1,1475_first-order-theorem-proving,0.0672346055980092,0.04701475450012363
5,(REG)Top-1,1479_hill-valley,0.05847502439262195,0.045298776999952634
6,(REG)Top-1,1485_madelon,0.28845162418175585,9.844800002609663e-05
7,(REG)Top-1,1489_phoneme,0.05945956242006762,0.046811944499968325
8,(REG)Top-1,1494_qsar-biodeg,0.035399999999999966,0.1940742514998055
9,(REG)Top-1,1496_ringnorm,0.05464999999999998,0.2047218205000899
10,(REG)Top-1,1497_wall-robot-navigation,0.07299999999999997,0.20470056049995033
11,(REG)Top-1,1504_steel-plates-fault,0.0011198005212243885,0.045462726999903634
12,(REG)Top-1,1507_twonorm,0.00919999999999998,0.27713055300009726
13,(REG)Top-1,1526_wall-robot-navigation,0.07444999999999996,0.20677401600016307
14,(REG)Top-1,1535_volcanoes-b5,0.05872880497450145,0.04649234999982577
15,(REG)Top-1,1538_volcanoes-d1,0.055873469387755066,0.0002696075000857865
16,(REG)Top-1,1539_volcanoes-d2,0.07382608595448756,0.046530815500118436
17,(REG)Top-1,1540_volcanoes-d3,0.05229999999999997,0.35479564550005305
18,(REG)Top-1,1541_volcanoes-d4,0.08059507174701785,0.04622662199999463
19,(REG)Top-1,1566_hill-valley,0.05779974791811686,0.045918283499922795
20,(REG)Top-1,182_satimage,0.010549999999999993,0.24416194600034938
21,(REG)Top-1,23_cmc,0.10178121958535463,0.04541222799984093
22,(REG)Top-1,28_optdigits,0.03409999999999995,0.20136624250011662
23,(REG)Top-1,294_satellite_image,0.009666099570127762,0.024600732999970162
24,(REG)Top-1,2dplanes,0.035516370998958775,0.024532019499965783
25,(REG)Top-1,30_page-blocks,0.02924999999999997,0.2071767275001184
26,(REG)Top-1,312_scene,0.02001729394531883,0.024690499999996923
27,(REG)Top-1,375_JapaneseVowels,0.017599999999999984,0.37901507200003837
28,(REG)Top-1,40474_thyroid-allbp,0.04867813529227447,0.04625061849990739
29,(REG)Top-1,40475_thyroid-allhyper,0.04867813529227447,0.046309865000330276
30,(REG)Top-1,40733_yeast,0.07988854502119389,0.045424257000158785
31,(REG)Top-1,44_spambase,0.02144188759677791,0.04671771449997318
32,(REG)Top-1,4538_GesturePhaseSegmentationProcessed,0.0996735372307729,0.04764184750001728
33,(REG)Top-1,60_waveform-5000,0.029814432904090613,0.04662618000020298
34,(REG)Top-1,679_rmftsa_sleepdata,0.08902040065854507,0.04511283250023548
35,(REG)Top-1,AedesQuinx,0.04399062499999996,0.00016317500027066
36,(REG)Top-1,AedesSex,0.01214583333333329,0.0002766754997719035
37,(REG)Top-1,ArabicDigit,0.009943749999999958,0.000272412499798469
38,(REG)Top-1,BNG,0.00918810209989337,0.0491902140002639
39,(REG)Top-1,BNG_breast-w,0.00918810209989337,0.04923995749992169
40,(REG)Top-1,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.33575010295068286,0.045622717999867696
41,(REG)Top-1,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.32843632750966834,9.532899992336392e-05
42,(REG)Top-1,HTRU,0.0223363636363636,0.0002787489996625925
43,(REG)Top-1,MagicTelescope,0.052616229627942594,0.04861524800009643
44,(REG)Top-1,abalone,0.047099999999999975,0.20231965499999202
45,(REG)Top-1,ailerons,0.028234222698645124,0.00011087999988371
46,(REG)Top-1,anuranCalls,0.016608075926932465,0.04680798400000635
47,(REG)Top-1,balloon,0.038783538611921596,0.04566980699986739
48,(REG)Top-1,bank8FM,0.02188863636363635,0.00027242549967918
49,(REG)Top-1,churn,0.08556075158313617,0.024647578000221933
50,(REG)Top-1,clean2,0.0009120049637451097,0.00010450550016681116
51,(REG)Top-1,click-prediction,0.12679711027160764,0.050321398000050935
52,(REG)Top-1,cmc,0.09634999999999996,0.1976872955000726
53,(REG)Top-1,covtype_reduced,0.06576274509803917,0.00027234699980904
54,(REG)Top-1,cpu_act,0.023884337349397544,0.000250124000121963
55,(REG)Top-1,default_credit_card_clients,0.08310826079279154,0.00012548449994933002
56,(REG)Top-1,delta_ailerons,0.01747035673355122,0.04738519600025024
57,(REG)Top-1,eeg,0.12631502266363126,0.04826045050009265
58,(REG)Top-1,electricity-normalized,0.06846170212765953,0.000281580999981037
59,(REG)Top-1,elevators,0.03219999999999998,0.20990127199991546
60,(REG)Top-1,file22f0e4a679,0.012275257731958714,0.00016057999979233952
61,(REG)Top-1,file79b563a1a18,0.04918752021399833,9.987300054488816e-05
62,(REG)Top-1,file7b5365fa741c,0.052592592592592545,0.0002458620000106245
63,(REG)Top-1,fri_c2_1000_10,0.07527856701017914,0.045729203999835544
64,(REG)Top-1,fried,0.0351729887714854,0.000137320000067068
65,(REG)Top-1,gina_agnostic,0.03718087538296096,0.046157803499918326
66,(REG)Top-1,houses,0.014269565217391257,0.000251117500010826
67,(REG)Top-1,jm1-processed,0.08972987529639237,0.00011258099973924501
68,(REG)Top-1,kdd_JapaneseVowels,0.013893025523945697,0.047341402000129124
69,(REG)Top-1,kin8nm,0.05803115549907322,0.047716372999966505
70,(REG)Top-1,letter-recognition,0.08129999999999997,0.7788352689998647
71,(REG)Top-1,magic,0.052616229627942594,0.04866013650000236
72,(REG)Top-1,mozilla,0.03974999999999997,0.602494829000134
73,(REG)Top-1,namao,0.019518181818181785,0.000277476499722933
74,(REG)Top-1,occupancy,0.007110599455355448,0.048703795500077786
75,(REG)Top-1,page-blocks,0.02924999999999997,0.207024324999802
