dataset,predicted_ranking,predicted_ranking_weights,predicted_ranking_mae,true_ranking,true_ranking_weights,true_ranking_mae
1043_ada_agnostic,"['DyS', 'SORD', 'MAX', 'HDy', 'SMM', 'MS', 'ACC', 'X', 'PCC', 'CC', 'PACC']","[0.16562356 0.12928537 0.11099293 0.10632435 0.10630347 0.09115097
 0.08164516 0.08106504 0.04741805 0.04321724 0.03697386]","[np.float64(0.0548125), np.float64(0.070218625), np.float64(0.08179116666666668), np.float64(0.08538252499999992), np.float64(0.08539929166666665), np.float64(0.09959566666666672), np.float64(0.11119141666666665), np.float64(0.111987125), np.float64(0.19145116666666662), np.float64(0.21006064999999988), np.float64(0.24553133333333335)]","['SORD', 'SMM', 'MS', 'DyS', 'X', 'MAX', 'ACC', 'PACC', 'HDy', 'CC', 'PCC']","[0.12773813 0.12527847 0.12123221 0.1203353  0.1074801  0.10208361
 0.09798387 0.07782451 0.06598508 0.02876273 0.02529599]","[np.float64(0.038200000000000005), np.float64(0.03895), np.float64(0.04025), np.float64(0.040549999999999996), np.float64(0.0454), np.float64(0.0478), np.float64(0.049800000000000004), np.float64(0.0627), np.float64(0.07395), np.float64(0.16965), np.float64(0.1929)]"
1460_banana,"['HDy', 'DyS', 'SORD', 'MAX', 'MS', 'SMM', 'PCC', 'X', 'ACC', 'CC', 'PACC']","[0.2118683  0.1611091  0.12603607 0.12361283 0.07758802 0.05841393
 0.05758685 0.05547157 0.05163482 0.04405647 0.03262203]","[np.float64(0.06893000833333336), np.float64(0.09064716666666675), np.float64(0.11587224999999986), np.float64(0.11814374999999985), np.float64(0.18822599999999995), np.float64(0.2500102916666664), np.float64(0.2536010000000004), np.float64(0.2632714999999999), np.float64(0.28283400000000014), np.float64(0.33148554166666666), np.float64(0.44767550000000006)]","['HDy', 'DyS', 'SORD', 'MAX', 'MS', 'X', 'PCC', 'SMM', 'ACC', 'CC', 'PACC']","[0.27492401 0.15858068 0.11337073 0.11310165 0.06749787 0.05630582
 0.05452345 0.04635554 0.04345303 0.04329512 0.0285921 ]","[np.float64(0.052000000000000005), np.float64(0.09015000000000001), np.float64(0.1261), np.float64(0.1264), np.float64(0.2118), np.float64(0.2539), np.float64(0.2622), np.float64(0.3084), np.float64(0.32899999999999996), np.float64(0.33020000000000005), np.float64(0.5)]"
1462_banknote-authentication,"['HDy', 'CC', 'SORD', 'PCC', 'ACC', 'DyS', 'MAX', 'SMM', 'X', 'PACC', 'MS']","[0.14517928 0.11539731 0.1073393  0.10456788 0.10109449 0.08844956
 0.08537401 0.07205564 0.06302733 0.06144034 0.05607486]","[np.float64(0.038085749999999925), np.float64(0.04791499999999997), np.float64(0.051511999999999974), np.float64(0.05287724999999991), np.float64(0.054693999999999986), np.float64(0.06251316666666669), np.float64(0.06476516666666664), np.float64(0.07673600000000008), np.float64(0.08772800000000001), np.float64(0.0899940000000001), np.float64(0.09860499999999989)]","['DyS', 'SORD', 'MS', 'MAX', 'X', 'ACC', 'SMM', 'HDy', 'CC', 'PCC', 'PACC']","[0.17067965 0.11505073 0.10786006 0.10638252 0.10565883 0.09082952
 0.09030144 0.08977947 0.05795466 0.03546084 0.03004226]","[np.float64(0.00455), np.float64(0.006750000000000001), np.float64(0.0072), np.float64(0.0073), np.float64(0.00735), np.float64(0.00855), np.float64(0.0086), np.float64(0.00865), np.float64(0.0134), np.float64(0.0219), np.float64(0.025849999999999998)]"
1466_cardiotocography,"['X', 'MAX', 'SMM', 'MS', 'DyS', 'SORD', 'ACC', 'CC', 'HDy', 'PACC', 'PCC']","[0.12505428 0.11730597 0.11431689 0.11222547 0.10450026 0.10090544
 0.07628815 0.07073207 0.06720169 0.0625491  0.04892067]","[np.float64(0.04115840000000001), np.float64(0.043876999999999985), np.float64(0.04502426666666667), np.float64(0.045863333333333325), np.float64(0.04925379166666666), np.float64(0.051008488095238086), np.float64(0.06746833333333337), np.float64(0.07276804166666664), np.float64(0.07659085), np.float64(0.08228790000000004), np.float64(0.10521185)]","['ACC', 'CC', 'MAX', 'MS', 'SMM', 'SORD', 'X', 'DyS', 'HDy', 'PACC', 'PCC']","[1.42643888e-01 1.42643888e-01 1.42643888e-01 1.42643888e-01
 1.42643888e-01 1.42643888e-01 1.42643888e-01 9.50959253e-04
 4.75479626e-04 3.31729972e-05 3.31729972e-05]","[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.00015), np.float64(0.0003), np.float64(0.0043), np.float64(0.0043)]"
1475_first-order-theorem-proving,"['DyS', 'HDy', 'SMM', 'SORD', 'MS', 'X', 'MAX', 'ACC', 'PCC', 'CC', 'PACC']","[0.13860281 0.13110662 0.13028146 0.11424984 0.09389674 0.09353441
 0.08730126 0.0840128  0.05103508 0.04737957 0.0285994 ]","[np.float64(0.05571874999999998), np.float64(0.058904541666666616), np.float64(0.05927762500000001), np.float64(0.06759550000000002), np.float64(0.08224753333333332), np.float64(0.08256614166666669), np.float64(0.08846120833333332), np.float64(0.09192379166666667), np.float64(0.15132287500000002), np.float64(0.16299799999999998), np.float64(0.27003274999999993)]","['DyS', 'HDy', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PACC', 'CC', 'PCC']","[0.12085614 0.11812144 0.11372197 0.10993639 0.10653481 0.10386802
 0.10177759 0.10026417 0.04442118 0.04431171 0.03618658]","[np.float64(0.06695000000000001), np.float64(0.0685), np.float64(0.07115), np.float64(0.0736), np.float64(0.07595), np.float64(0.0779), np.float64(0.0795), np.float64(0.08070000000000001), np.float64(0.18215), np.float64(0.1826), np.float64(0.2236)]"
1479_hill-valley,"['HDy', 'ACC', 'SORD', 'SMM', 'PCC', 'MS', 'X', 'DyS', 'MAX', 'CC', 'PACC']","[0.11624232 0.10445549 0.10356079 0.10189836 0.09933602 0.08866877
 0.0879062  0.08522706 0.07746188 0.07500961 0.0602335 ]","[np.float64(0.18149033333333325), np.float64(0.20196983333333324), np.float64(0.2037147250000001), np.float64(0.20703824999999987), np.float64(0.21237873333333343), np.float64(0.23792883333333326), np.float64(0.2399928333333332), np.float64(0.247537075), np.float64(0.27235149999999986), np.float64(0.28125541666666654), np.float64(0.35025124999999996)]","['HDy', 'DyS', 'SORD', 'SMM', 'ACC', 'MS', 'MAX', 'X', 'PCC', 'CC', 'PACC']","[0.15940133 0.15257765 0.13687457 0.12307368 0.12041263 0.11314964
 0.05431597 0.05431597 0.04311897 0.02493852 0.01782107]","[np.float64(0.0559), np.float64(0.0584), np.float64(0.06509999999999999), np.float64(0.0724), np.float64(0.07400000000000001), np.float64(0.07875), np.float64(0.16405), np.float64(0.16405), np.float64(0.20665), np.float64(0.35729999999999995), np.float64(0.5)]"
1485_madelon,"['DyS', 'SORD', 'HDy', 'MAX', 'SMM', 'MS', 'ACC', 'X', 'CC', 'PCC', 'PACC']","[0.15268525 0.13690229 0.12288173 0.09619046 0.09522322 0.09481136
 0.08699192 0.07212088 0.05481089 0.05101974 0.03636225]","[np.float64(0.06031605000000001), np.float64(0.06726966666666662), np.float64(0.07494499999999997), np.float64(0.09574100000000003), np.float64(0.09671350000000008), np.float64(0.097133625), np.float64(0.10586466666666665), np.float64(0.12769354166666666), np.float64(0.1680208333333334), np.float64(0.18050604166666667), np.float64(0.25326733333333323)]","['HDy', 'CC', 'DyS', 'PCC', 'PACC', 'SMM', 'MAX', 'SORD', 'MS', 'ACC', 'X']","[0.10662874 0.10534303 0.10015034 0.10011209 0.0946015  0.09087845
 0.09047064 0.08283611 0.07948247 0.07680394 0.07269268]","[np.float64(0.24580000000000002), np.float64(0.2488), np.float64(0.26170000000000004), np.float64(0.2618), np.float64(0.27705), np.float64(0.2884), np.float64(0.2897), np.float64(0.3164), np.float64(0.32975), np.float64(0.34125), np.float64(0.36055)]"
1489_phoneme,"['DyS', 'SMM', 'HDy', 'MS', 'MAX', 'SORD', 'X', 'ACC', 'PACC', 'CC', 'PCC']","[0.12885068 0.12282899 0.12178099 0.10997525 0.10968663 0.10938156
 0.10645024 0.08608087 0.03825471 0.03476182 0.03194824]","[np.float64(0.05470365), np.float64(0.05738550000000003), np.float64(0.05787933333333333), np.float64(0.06409262500000006), np.float64(0.06426127499999999), np.float64(0.06444049999999996), np.float64(0.06621500000000011), np.float64(0.08188349999999991), np.float64(0.18425449999999985), np.float64(0.20276850000000002), np.float64(0.22062566666666686)]","['DyS', 'HDy', 'MS', 'SORD', 'SMM', 'MAX', 'X', 'ACC', 'PACC', 'CC', 'PCC']","[0.12563263 0.11924114 0.11765126 0.11628322 0.11304096 0.10638678
 0.10504577 0.08060471 0.04857686 0.03422436 0.03331232]","[np.float64(0.059699999999999996), np.float64(0.0629), np.float64(0.06375), np.float64(0.0645), np.float64(0.06634999999999999), np.float64(0.0705), np.float64(0.07139999999999999), np.float64(0.09305), np.float64(0.15439999999999998), np.float64(0.21914999999999998), np.float64(0.22515000000000002)]"
1494_qsar-biodeg,"['DyS', 'HDy', 'SMM', 'MS', 'SORD', 'ACC', 'MAX', 'X', 'PACC', 'CC', 'PCC']","[0.14536531 0.12828936 0.11931503 0.10793546 0.10384276 0.08779487
 0.08531321 0.07357708 0.06283418 0.05083348 0.03489926]","[np.float64(0.032102499999999964), np.float64(0.036375500000000026), np.float64(0.03911150000000002), np.float64(0.043234999999999975), np.float64(0.04493899999999998), np.float64(0.05315333333333329), np.float64(0.054699499999999984), np.float64(0.06342450000000005), np.float64(0.07426833333333333), np.float64(0.0918015000000001), np.float64(0.13371600000000014)]","['HDy', 'DyS', 'SMM', 'MS', 'SORD', 'ACC', 'MAX', 'X', 'PACC', 'CC', 'PCC']","[0.14200956 0.12306337 0.1178696  0.11543372 0.10228156 0.08484622
 0.0818086  0.06962796 0.06784263 0.06097197 0.03424481]","[np.float64(0.0354), np.float64(0.04085), np.float64(0.042649999999999993), np.float64(0.043550000000000005), np.float64(0.04915), np.float64(0.05925), np.float64(0.061450000000000005), np.float64(0.0722), np.float64(0.0741), np.float64(0.08245), np.float64(0.14679999999999999)]"
1496_ringnorm,"['HDy', 'SORD', 'SMM', 'MAX', 'PCC', 'X', 'ACC', 'DyS', 'PACC', 'MS', 'CC']","[0.13494366 0.10715592 0.09498232 0.09011888 0.0899017  0.08710283
 0.08236995 0.08034092 0.08023035 0.08014189 0.07271159]","[np.float64(0.2206737499999998), np.float64(0.2778990000000001), np.float64(0.3135164999999997), np.float64(0.33043599999999995), np.float64(0.33123424999999984), np.float64(0.34187779999999995), np.float64(0.36152170000000006), np.float64(0.37065199999999976), np.float64(0.3711628333333333), np.float64(0.3715725), np.float64(0.4095430333333335)]","['DyS', 'SORD', 'MS', 'SMM', 'HDy', 'MAX', 'ACC', 'X', 'PACC', 'CC', 'PCC']","[0.12837416 0.12035077 0.11591065 0.10963082 0.10922961 0.10436011
 0.09512985 0.09283668 0.04750814 0.04377997 0.03288925]","[np.float64(0.04650000000000001), np.float64(0.0496), np.float64(0.051500000000000004), np.float64(0.054450000000000005), np.float64(0.05465), np.float64(0.0572), np.float64(0.06275), np.float64(0.0643), np.float64(0.12564999999999998), np.float64(0.13635), np.float64(0.1815)]"
