quantifier,dataset,abs_error,run_time
(KNN)Top-1,1043_ada_agnostic,0.046385970016641034,0.04734402050003605
(KNN)Top-1,1460_banana,0.09357660855263926,0.04723619700002469
(KNN)Top-1,1462_banknote-authentication,0.006117017965226557,0.04613559049997543
(KNN)Top-1,1466_cardiotocography,0.0014598547678855431,0.04646577849998262
(KNN)Top-1,1475_first-order-theorem-proving,0.06698453608477595,0.04793012649995485
(KNN)Top-1,1479_hill-valley,0.04749999999999996,0.000259508500002946
(KNN)Top-1,1485_madelon,0.25497128514763984,0.007623286499983757
(KNN)Top-1,1489_phoneme,0.05183794208774551,0.04773625699996496
(KNN)Top-1,1494_qsar-biodeg,0.0381969533080253,0.045589982000001285
(KNN)Top-1,1496_ringnorm,0.04754362079678276,0.04805657700001116
(KNN)Top-1,1497_wall-robot-navigation,0.05199290788778515,0.04794542650001398
(KNN)Top-1,1504_steel-plates-fault,0.0010691832961946639,0.04618828550000212
(KNN)Top-1,1507_twonorm,0.007349999999999987,0.21511649050003595
(KNN)Top-1,1526_wall-robot-navigation,0.058029013421359146,0.0479748950000248
(KNN)Top-1,1535_volcanoes-b5,0.07639999999999998,0.5541983765000168
(KNN)Top-1,1538_volcanoes-d1,0.05234999999999998,0.4877660009999818
(KNN)Top-1,1539_volcanoes-d2,0.08299999999999998,0.5105899094999949
(KNN)Top-1,1540_volcanoes-d3,0.04639999999999997,0.5191082699999925
(KNN)Top-1,1541_volcanoes-d4,0.07689999999999998,0.480304528000006
(KNN)Top-1,1566_hill-valley,0.14234999999999995,0.2074205249999886
(KNN)Top-1,182_satimage,0.010300213785334814,0.0001107245000366165
(KNN)Top-1,23_cmc,0.08353668610200683,0.04631826449999603
(KNN)Top-1,28_optdigits,0.012027561440442449,0.025554649499936154
(KNN)Top-1,294_satellite_image,0.009471522496027777,0.047776989000067216
(KNN)Top-1,2dplanes,0.029998479445894146,0.0527134685000055
(KNN)Top-1,30_page-blocks,0.05764999999999997,0.30789759400003275
(KNN)Top-1,312_scene,0.015050967552367112,0.02507080699996545
(KNN)Top-1,375_JapaneseVowels,0.01407285191441218,0.04739103350010732
(KNN)Top-1,40474_thyroid-allbp,0.05140241784632973,0.044927110499957006
(KNN)Top-1,40475_thyroid-allhyper,0.05140241784632973,0.04511740399998412
(KNN)Top-1,40733_yeast,0.0753721070500856,0.045097039000011094
(KNN)Top-1,44_spambase,0.02086137677007183,0.04853846400002108
(KNN)Top-1,4538_GesturePhaseSegmentationProcessed,0.09879425180876993,0.04774471049990093
(KNN)Top-1,60_waveform-5000,0.02716364695790022,0.04571286750001487
(KNN)Top-1,679_rmftsa_sleepdata,0.09584944178789152,0.04424956150008252
(KNN)Top-1,AedesQuinx,0.03951925058924477,0.04849507500000977
(KNN)Top-1,AedesSex,0.01039225185327718,0.04732925999992398
(KNN)Top-1,ArabicDigit,0.006399999999999985,0.2076714080001511
(KNN)Top-1,BNG,0.008849999999999981,2.3625431680000837
(KNN)Top-1,BNG_breast-w,0.008849999999999981,2.4598747710000133
(KNN)Top-1,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.26239265373329357,0.002674802000001315
(KNN)Top-1,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.2629306345397265,0.002684489000002891
(KNN)Top-1,HTRU,0.018290287599271707,0.04959306799990368
(KNN)Top-1,MagicTelescope,0.05175405961093312,0.05076207650001375
(KNN)Top-1,abalone,0.05161403508771925,0.0002592455000012205
(KNN)Top-1,ailerons,0.025109195708048978,0.047068927000063876
(KNN)Top-1,anuranCalls,0.015278476681406434,0.04565648149996373
(KNN)Top-1,balloon,0.030063734956285258,0.04463140150002796
(KNN)Top-1,bank8FM,0.012660546782971618,0.046109114500022724
(KNN)Top-1,churn,0.048099420168950274,0.04855386600005654
(KNN)Top-1,clean2,0.0,0.0002893009999660945
(KNN)Top-1,click-prediction,0.12809999999999996,2.7201185964999968
(KNN)Top-1,cmc,0.07570526928241933,0.026554145499976537
(KNN)Top-1,covtype_reduced,0.05363954461078734,0.050053941000005535
(KNN)Top-1,cpu_act,0.01989999999999997,0.4703051260000029
(KNN)Top-1,default_credit_card_clients,0.08381482590142789,0.05171826200003119
(KNN)Top-1,delta_ailerons,0.019414984406396444,0.048703953500007585
(KNN)Top-1,eeg,0.1293440991821152,0.04945267849997431
(KNN)Top-1,electricity-normalized,0.05415577179622801,0.05562145899999446
(KNN)Top-1,elevators,0.02508387704310056,0.05116904950001294
(KNN)Top-1,file22f0e4a679,0.008359303196351107,0.048269367500033654
(KNN)Top-1,file79b563a1a18,0.051099999999999965,0.1596207724999749
(KNN)Top-1,file7b5365fa741c,0.03869999999999998,0.24044210000005475
(KNN)Top-1,fri_c2_1000_10,0.06228246852573636,0.047492031500041734
(KNN)Top-1,fried,0.04002835820895518,0.0002734624999447445
(KNN)Top-1,gina_agnostic,0.039599999999999975,0.18641552549999685
(KNN)Top-1,houses,0.009322767269676919,0.05033847500006227
(KNN)Top-1,jm1-processed,0.09865844744460146,0.04985066399993225
(KNN)Top-1,kdd_JapaneseVowels,0.01407285191441218,0.049390359000171837
(KNN)Top-1,kin8nm,0.07294468085106379,0.000267375500243314
(KNN)Top-1,letter-recognition,0.06857963750729273,0.050522187999958945
(KNN)Top-1,magic,0.05175405961093312,0.05082741900001561
(KNN)Top-1,mozilla,0.03855209051073692,0.0506385554997541
(KNN)Top-1,namao,0.014626653353993995,0.049240206999838804
(KNN)Top-1,occupancy,0.006249999999999991,1.099678745999845
(KNN)Top-1,page-blocks,0.026647441926693403,0.04504995449991834
(KNN)Top-1,parity5_plus_5,0.28559999999999997,8.3200000335637e-06
(KNN)Top-1,pendigits,0.005418090201040738,0.04565959800012929
(KNN)Top-1,phoneme,0.05019536178879186,0.04565391500007531
(KNN)Top-1,php50jXam,0.006117017965226557,0.044136802000084525
(KNN)Top-1,phpGUrE90,0.03239999999999998,0.19765442549991344
(KNN)Top-1,phpMD2hR6,0.030538344513195467,0.05508457350004387
(KNN)Top-1,phpV5QYya,0.018720445434885227,0.04641309200003884
(KNN)Top-1,phpWfYmlu,0.046874320848525344,0.04598969399987249
(KNN)Top-1,phphQEck0,0.01588303216032636,0.06747303599990113
(KNN)Top-1,phplE7q6h,0.12109643213406443,0.04712598300000532
(KNN)Top-1,phpmPOD5A,0.34525,1.803547783499762
(KNN)Top-1,phpwRjVjk,0.06099999999999997,0.20550638700020496
(KNN)Top-1,phpxijhaP,0.007349999999999987,0.20628470000006924
(KNN)Top-1,pol,0.023993987685166817,0.046666067000060096
(KNN)Top-1,pollen,0.5143217661401179,0.04511387699996699
(KNN)Top-1,puma32H,0.11933589485665239,0.046086968999916225
(KNN)Top-1,puma8NH,0.03686825503765921,0.04609083999997888
(KNN)Top-1,quake,0.5,0.0025296839999827568
(KNN)Top-1,space_ga,0.047411940298507406,0.0002364215000852225
